Branch,TaxState,ShiptoCity,ShiptoZip,County,TaxRate,StateRate,CountyRate,CityRate,SpecialRate,TaxableTotal,StateTax,Tax,CountyTax,CityTax,SpecialTax,DateFilled,OrderTotal,ItemTotal,Shipping,TallyTax,ItemPlusShipping
OGS/MT,VT,1 Manchester,5255,Bennington,0,0.07,0,0.01,0,0,0,0,0,0,0,January 2023,0,79.25,29,0,108.25
OGS/MT,ME,Bryant Pond,4219,Oxford,0.055,0.055,0,0,0,10,0.55,0.55,0,0,0,January 2023,0,10,0,0.55,0
OGS/MT,ME,Pownal,4069,Cumberland,0.055,0.055,0,0,0,58.44,3.2142,3.2142,0,0,0,January 2023,0,58.44,23,3.21,0
OGS/MT,WI,Stetsonville,54480,Taylor,0,0.055,0.005,0,0,16.75,0.92125,0,0.08375,0,0,February 2023,0,16.75,0,0.92,16.75
OGS/MT,NY,Bath,14810,Steuben,0,0.08,0.04,0,0,107.5,8.6,0,4.3,0,0,January 2023,0,84.5,23,8.6,107.5
OGS/MT,ME,Warren,4864,Knox,0.055,0.055,0,0,0,42.5,2.3375,2.3375,0,0,0,January 2023,0,42.5,0,2.34,0
OGS/MT,WI,Owen,54460,Clark,0,0.055,0.005,0,0,109.73,6.03515,0,0.54865,0,0,January 2023,0,109.72,0,6.04,109.72
OGS/MT,ME,Castine,4421,Hancock,0.055,0.055,0,0,0,22.5,1.2375,1.2375,0,0,0,January 2023,0,22.5,12,1.24,0
OGS/MT,VT,Enosburg,5450,Franklin,0,0.06,0,0,0,16,0.96,0,0,0,0,January 2023,0,16,0,0.96,16
OGS/MT,OR,Corvallis,97330,Benton,0,0,0,0,0,35,0,0,0,0,0,January 2023,0,35,0,0,0
OGS/MT,IA,Camanche,52730,Clinton,0,0,0,0,0,252,0,0,0,0,0,February 2023,0,209,43,0,0
OGS/MT,AK,Haines,99827,Haines,0,0.055,0.055,0,0,72.25,3.97375,0,3.97375,0,0,January 2023,0,72.25,0,3.97,0
OGS/MT,OR,Oregon City,97045,Clackamas,0,0,0,0,0,22,0,0,0,0,0,January 2023,0,10,12,0,0
OGS/MT,VA,Hayes,23072,Gloucester,0,0.063,0.01,0,0.01,27.47,1.73061,0,0.2747,0,0.2747,January 2023,0,27.47,0,1.73,0
OGS/MT,MA,Scituate,2066,Plymouth,0,0.0625,0,0,0,0,0,0,0,0,0,January 2023,0,68.5,29,0,0
OGS/MT,ME,Robbinston,4671,Washington,0.055,0.055,0,0,0,7.75,0.42625,0.42625,0,0,0,January 2023,0,7.75,0,0.43,0
OGS/MT,ME,East Waterboro,4030,York,0.055,0.055,0,0,0,99.46,5.4703,5.4703,0,0,0,January 2023,0,99.45,42.63,5.47,0
OGS/MT,VT,Fairfax,5454,Franklin,0,0.06,0,0,0,16,0.96,0,0,0,0,January 2023,0,16,0,0.96,16
OGS/MT,NJ,New Brunswick,8901,Middlesex,0,0.06625,0,0,0,0,0,0,0,0,0,January 2023,0,65.75,43.5,0,109.25
OGS/MT,RI,Wakefield,2879,Washington,0,0.07,0,0,0,94.82,6.6374,0,0,0,0,January 2023,0,77.5,29,6.64,106.5
OGS/MT,MI,Garden,49835,Delta,0,0.06,0,0,0,207.83,12.4698,0,0,0,0,January 2023,0,164.82,43,12.47,207.82
OGS/MT,VA,Hartfield,23071,Middlesex,0,0.053,0.01,0,0,98.01,5.19453,0,0.9801,0,0,January 2023,0,98.01,29,5.19,0
OGS/MT,MI,Portage,49002,Kalamazoo,0,0.06,0,0,0,54.48,3.2688,0,0,0,0,January 2023,0,42.48,12,3.27,54.48
